	 h0	 hM	 hE	 h0	 hM	 hE	 h0	 hM	 hE	 h0	 hM	 hE
Problema												
prob10x10-0.txt	6	6	19	9	4	45	10	7	30	19	11	75
prob10x10-1.txt	21	21	62	49	33	23	13	14	21	62	47	44
prob10x10-2.txt	14	14	14	27	17	70	12	8	27	39	25	97
prob10x10-3.txt	19	19	21	49	35	92	12	11	26	61	46	118
prob10x10-4.txt	41	41	66	117	110	105	8	8	16	125	118	121
prob10x10-5.txt	44	45	83	111	89	37	6	9	17	117	98	54
prob10x10-6.txt	18	18	18	80	29	35	19	21	28	99	50	63
prob10x10-7.txt	24	24	41	92	68	53	12	18	32	104	86	85
prob10x10-8.txt	38	38	59	84	61	28	14	13	21	98	74	49
prob10x10-9.txt	35	35	45	86	71	50	12	16	26	98	87	76
prob10x15-0.txt	30	30	39	123	77	166	20	21	20	143	98	186
prob10x15-1.txt	3	3	3	4	3	8	5	4	7	9	7	15
prob10x15-2.txt	46	46	126	160	125	83	15	20	49	175	145	132
prob10x15-3.txt	31	31	113	147	100	181	12	14	5	159	114	186
prob10x15-4.txt	45	45	69	163	152	135	11	10	43	174	162	178
prob10x15-5.txt	3	3	3	3	3	2	4	4	3	7	7	5
prob10x15-6.txt	5	5	5	7	5	41	5	5	18	12	10	59
prob10x15-7.txt	11	11	11	25	15	30	7	10	19	32	25	49
prob10x15-8.txt	40	40	44	159	131	125	11	15	45	170	146	170
prob10x15-9.txt	21	21	92	97	57	57	28	22	35	125	79	92
prob15x15-0.txt	33	33	45	169	90	40	18	25	30	187	115	70
prob15x15-1.txt	46	46	118	247	183	261	10	27	7	257	210	268
prob15x15-2.txt	51	51	110	236	217	88	8	14	45	244	231	133
prob15x15-3.txt	39	39	153	186	114	193	19	20	48	205	134	241
prob15x15-4.txt	11	11	15	30	10	9	28	11	12	58	21	21
prob15x15-5.txt	37	37	134	163	104	138	29	24	59	192	128	197
prob15x15-6.txt	21	21	29	79	49	23	22	20	22	101	69	45
prob15x15-7.txt	44	44	69	228	180	48	9	29	39	237	209	87
prob15x15-8.txt	45	45	146	233	158	206	15	32	41	248	190	247
prob15x15-9.txt	36	36	104	117	74	179	23	20	68	140	94	247
