Problema, h0, hM, hE, h0, hM, hE, h0, hM, hE, h0, hM, hE
prob10x10-0.txt,6,6,2147483647,9,4,0,10,7,0,19,11,0
prob10x10-1.txt,21,21,2147483647,49,33,0,13,14,0,62,47,0
prob10x10-2.txt,14,14,2147483647,27,17,0,12,8,0,39,25,0
prob10x10-3.txt,19,19,2147483647,49,35,0,12,11,0,61,46,0
prob10x10-4.txt,41,41,2147483647,117,110,0,8,8,0,125,118,0
prob10x10-5.txt,44,45,2147483647,111,89,0,6,9,0,117,98,0
prob10x10-6.txt,18,18,2147483647,80,29,0,19,21,0,99,50,0
prob10x10-7.txt,24,24,2147483647,92,68,0,12,18,0,104,86,0
prob10x10-8.txt,38,38,2147483647,84,61,0,14,13,0,98,74,0
prob10x10-9.txt,35,35,2147483647,86,71,0,12,16,0,98,87,0
prob10x15-0.txt,30,30,2147483647,123,77,0,20,21,0,143,98,0
prob10x15-1.txt,3,3,2147483647,4,3,0,5,4,0,9,7,0
prob10x15-2.txt,46,46,2147483647,160,125,0,15,20,0,175,145,0
prob10x15-3.txt,31,31,2147483647,147,100,0,12,14,0,159,114,0
prob10x15-4.txt,45,45,2147483647,163,152,0,11,10,0,174,162,0
prob10x15-5.txt,3,3,2147483647,3,3,0,4,4,0,7,7,0
prob10x15-6.txt,5,5,2147483647,7,5,0,5,5,0,12,10,0
prob10x15-7.txt,11,11,2147483647,25,15,0,7,10,0,32,25,0
prob10x15-8.txt,40,40,2147483647,159,131,0,11,15,0,170,146,0
prob10x15-9.txt,21,21,2147483647,97,57,0,28,22,0,125,79,0
prob15x15-0.txt,33,33,2147483647,169,90,0,18,25,0,187,115,0
prob15x15-1.txt,46,46,2147483647,247,183,0,10,27,0,257,210,0
prob15x15-2.txt,51,51,2147483647,236,217,0,8,14,0,244,231,0
prob15x15-3.txt,39,39,2147483647,186,114,0,19,20,0,205,134,0
prob15x15-4.txt,11,11,2147483647,30,10,0,28,11,0,58,21,0
prob15x15-5.txt,37,37,2147483647,163,104,0,29,24,0,192,128,0
prob15x15-6.txt,21,21,2147483647,79,49,0,22,20,0,101,69,0
prob15x15-7.txt,44,44,2147483647,228,180,0,9,29,0,237,209,0
prob15x15-8.txt,45,45,2147483647,233,158,0,15,32,0,248,190,0
prob15x15-9.txt,36,36,2147483647,117,74,0,23,20,0,140,94,0
