Problema, h0, hM, hE, h0, hM, hE, h0, hM, hE, h0, hM, hE
prob10x10-0.txt,6,6,6,126,3,11,3,5,11,129,8,22
prob10x10-1.txt,63,34,28,112,7,121,16,12,6,128,19,127
prob10x10-2.txt,14,14,14,10,5,9,11,9,10,21,14,19
prob10x10-3.txt,26,21,25,108,7,117,14,10,9,122,17,126
prob10x10-4.txt,58,48,59,32,12,109,23,22,18,55,34,127
prob10x10-5.txt,60,80,71,31,12,32,31,22,19,62,34,51
prob10x10-6.txt,70,20,31,46,5,109,27,8,16,73,13,125
prob10x10-7.txt,57,34,73,104,10,84,20,17,28,124,27,112
prob10x10-8.txt,67,45,105,29,8,47,26,15,43,55,23,90
prob10x10-9.txt,38,38,136,11,6,109,13,11,18,24,17,127
prob10x15-0.txt,39,39,78,14,8,99,16,14,54,30,22,153
prob10x15-1.txt,3,3,3,186,3,129,4,4,44,190,7,173
prob10x15-2.txt,72,80,121,44,16,53,31,30,41,75,46,94
prob10x15-3.txt,85,55,36,47,12,36,29,20,26,76,32,62
prob10x15-4.txt,137,50,93,142,13,55,40,21,42,182,34,97
prob10x15-5.txt,3,3,3,3,2,2,4,3,3,7,5,5
prob10x15-6.txt,5,5,8,4,3,6,6,5,5,10,8,11
prob10x15-7.txt,100,11,30,48,6,172,41,10,11,89,16,183
prob10x15-8.txt,105,47,69,47,10,99,30,16,50,77,26,149
prob10x15-9.txt,93,24,24,45,5,140,31,9,40,76,14,180
prob15x15-0.txt,160,38,36,215,7,52,49,13,39,264,20,91
prob15x15-1.txt,146,101,138,205,23,159,58,41,68,263,64,227
prob15x15-2.txt,133,91,144,77,18,206,44,32,49,121,50,255
prob15x15-3.txt,103,73,111,163,14,93,44,25,55,207,39,148
prob15x15-4.txt,167,11,57,168,4,228,52,6,34,220,10,262
prob15x15-5.txt,190,64,79,85,14,91,69,22,69,154,36,160
prob15x15-6.txt,25,28,31,16,7,142,11,12,66,27,19,208
prob15x15-7.txt,286,81,103,130,16,183,101,26,65,231,42,248
prob15x15-8.txt,211,138,146,104,24,132,98,44,81,202,68,213
prob15x15-9.txt,183,62,56,183,11,86,65,19,57,248,30,143
